Tumor_Type,Binary_Label,Detailed_Label,Intensity_Mean,Intensity_Std,Contrast,Homogeneity,Energy,Correlation,Dissimilarity
Glioma,0,0,54.5693359375,47.96927628119725,592.7504178954541,0.32134578711106365,0.10119717537004165,0.8710375915198961,12.264725877109598
Glioma,0,0,43.11334228515625,35.30575029119268,401.8846027536196,0.3331315196442895,0.09813603980900844,0.8382242959807854,9.89687078592987
Glioma,0,0,31.3466796875,40.99294079509559,427.6998590950873,0.4943709102118771,0.27495200336324305,0.8733955284422312,8.229133083267056
Glioma,0,0,48.71533203125,40.31175985617913,564.3382025631942,0.2949092754267073,0.0850285543995729,0.8258114391297142,11.980605949494455
Glioma,0,0,37.89471435546875,32.150372418859114,357.8265601023702,0.3358640100682608,0.09726651584588016,0.8265046293454382,9.44337390627972
Glioma,0,0,39.63531494140625,45.260302645151356,333.8185854575389,0.4539377724896104,0.20022704622312482,0.9187847489174309,8.29791883021385
Glioma,0,0,46.40362548828125,39.41684425937157,496.3217485537102,0.3203623493737465,0.09671668894195505,0.8399087397932623,11.080571704113305
Glioma,0,0,40.6114501953125,37.80177444406003,439.05074940233413,0.3104629675331977,0.09319005685969758,0.8464125136628717,10.655487228944397
Glioma,0,0,48.664306640625,43.99711300240729,595.8480386649128,0.28333937504107953,0.07341083472633597,0.8460065455839564,12.507727007643124
Glioma,0,0,36.1676025390625,33.9564394553176,442.30534952090494,0.2793332491639572,0.06914623389886915,0.8082685744821992,10.935647867390676
Glioma,0,0,41.93035888671875,37.80468147755311,483.0003801140998,0.29319997790157853,0.0786481498826042,0.8309071422220622,11.294230428305823
Glioma,0,0,42.55609130859375,38.941953412753165,523.0341269511324,0.2827153192668297,0.06803151250623335,0.8275159184442761,11.52277632680401
Glioma,0,0,48.569580078125,44.855847316660295,597.2080173184581,0.26177098906677415,0.050801265278172664,0.851533388243629,11.980678363701927
Glioma,0,0,29.38134765625,39.00622770213764,442.4363229664533,0.5067579954594347,0.27472027870100774,0.8553792056442115,8.080763395902677
Glioma,0,0,34.8101806640625,33.202970277089165,351.657782928884,0.31980445293762416,0.07859480198474177,0.8405529961990408,9.240609524188603
Glioma,0,0,43.548095703125,42.327567033128254,581.0729501694252,0.27365705322936557,0.05674079786998515,0.8379561812964186,11.687958219667971
Glioma,0,0,45.51531982421875,44.010731276035656,543.5938371877512,0.28911015605866697,0.06330504413414628,0.8597830547776348,11.176219368065086
Glioma,0,0,42.60150146484375,42.638941087484916,472.3788379530549,0.2984224767233308,0.06353397326990386,0.8702794337178967,10.376261315023825
